short_description,category_list
"Marla Bay Advisers, LLC is a Texas Limited-Liability Company.",Health Care
One of the famous indoor playgound equipment manufacturer in India,"3D Printing,Manufacturing"
Coworking is an adventure that inspires.,Travel
French distribution industry software vendor,"Accounting,Software"
Edun Apparel Ltd is a global fashion brand and modern designer vision with the richness and positivity of this fast-growing continent.,"Fashion,Lifestyle,Wearables"
POOL4TOOL is the worldäó»s only cloud-based All-in-One Supply Collaboration Platform.,"Automotive,Electronics,Information Technology,SaaS,Software,Supply Chain Management"
Pumpart System designs and distributes packaging that combines the simplicity of plastic tubes and key features of airless packaging.,"Packaging Services,Plastics and Rubber Manufacturing"
Modernizing heating & cooling with a powerful IoT platform.,"Energy Management,Hardware,Internet of Things,SaaS,Smart Building,Smart Home"
Ebuzznet is an online blog that focuses on web design.,"SEO,Social Media,Social Media Management"
Al Mag Heat Treat is providing aluminum heat treatment services.,"Mining,Health Care"
"U.S. Patriot Tactical sells military and law enforcement apparel, footwear, and gear.","Law Enforcement,Marketing,Military,Product Design,Retail"
Money Quest is a M2M platforms and easy to use analytics to ease your work.,Mobile Apps
"White.net is a digital marketing agency focused in paid media, technical SEO, content, digital PR & social media.","Advertising,Consulting,Search Engine,SEO,Social Media,Web Design"
Zinstall offers end-point PC migration solutions which are unavailable with traditional tools and Windows migration software.,Software
Melissa Data is a leading data quality address verification and address validation software provider in India,"Analytics,Big Data,Information Technology"
Bluware is a computer software company that provides engineering software and data management services.,"CRM,Information Technology,Oil and Gas,Software"
user-centered design.,Product Design
BuildOffers.com provides a unique solution for clients that desire access to a variety of online affiliate programs but require a website,"Public Relations,Web Design"
"United Nations Global Compact is a voluntary initiative, based on CEO commitments to implement universal sustainability principles.",Non Profit
"Fineman PR is undoubtedly an agency using a unique combination of responsiveness, talent and world-renowned credibility.",Advertising
QJY Media Group,
"Artemis Hospital, established in 2007, spread across 9 acres.",Health Care
investment fund and technology transfer platform aimed at promoting the discovery and development of innovative medicines.,"Biopharma,Biotechnology,Medical"
Open software platform designed to bridge the technical learning gap through interactive content and labs.,"CRM,Developer Platform,E-Learning,Education,Information Technology,Internet,STEM Education"
"Alien Tech Industries is a retailer, wholesaler and developer of consumer electronics.","Drones,E-Commerce,Electronics"
Natural Power and Energy is a solar energy provider and installer.,"Energy,Renewable Energy,Solar"
"Old Pond Publishing is a publisher of DVDs and books for enthusiasts in the land-based industries: farmers and smallholders, workers.","Agriculture,Publishing"
Epoch Universal is an end-to-end IT solutions provider.,"Consulting,Cyber Security,Information Services,Information Technology,Internet,Security,Telecommunications"
Drive Yello helps businesses efficiently manage last mile logistics so they can meet the ever-increasing demand for same day delivery.,"Courier Service,Delivery,Delivery Service,Food and Beverage,Food Delivery,Hospitality,Last Mile Transportation,Logistics,Same Day Delivery"
A free workplace messaging app that makes life easier for restaurant and retail workers.,"Apps,Information Technology,Messaging"
Genesis Vacuum Technologies is a manufacture of cryogenic vacuum pumps and cryogenic cold heads.,Manufacturing
"Atlantic Choice Car Hire is one of the Leading Cheap Car Rental Companies in UK. Compare & Save on Van Hire,","E-Commerce,Travel"
"Leapfrog Holdings is institution that provides capital, creativity, operating skills and strategic planning.",
"Pi4sc is focused on planning disposition and distribution as well as interfaces to IT, management and finance.","Consulting,Logistics,Management Consulting,Medical,Supply Chain Management"
"Fanfoot is a football social OTT, bringing together a distinct integration of disruptive technology with the highest-quality content.","Soccer,Sports,Video"
"Loophole, an Enterprise Online Marketing and Digital PR Agency",
Building technology that helps AV companies track and comply with safety standards.,"Information Technology,Software"
CrediGence provides a loan management system for micro finance institutions. ,"Big Data,FinTech,Machine Learning,Micro Lending"
Connected Investors is a community + marketplace for real estate investors.,"Communities,Marketplace,Real Estate"
Used Cars Classified website,Automotive
"Gí_nter Guest Supplies GmbH & Co., KG is a supplier of guest aminity products in Europe.",Textiles
"Pattons is an industrial air compressor distributor, fabricator and supplier.","Industrial,Manufacturing"
Innovative femenine hygiene via our mobile app.,E-Commerce
IBaround enables brands to optimize in real time the customer experience in retail stores.,"Brand Marketing,Internet of Things,Retail Technology"
"Counterfeit.Technology kills counterfeiters, dead in their tracks.","Analytics,Information Services,Information Technology"
ToloStar is a Software company.,Software
Inteligistics is a provider of innovative cool chain and supply chain visibility solutions.,"RFID,Sensor,Supply Chain Management,Wireless"
Solstice Senior Living is a healthcare company that provides quality senior care and a fulfilling work environment.,"Home Health Care,Health Care,Wellness"
"Martin Color-Fi, Inc. is a leading producer of polyester staple fiber and a QS9000/ISO 9002 certified company.",Manufacturing
"Raaga Mayuri Agrovet Pvt.Ltd is one of the Food processing zone located in Telangana. Approved by MOFPI, Fully developed 125 Acre of Land.","Food and Beverage,Travel"
Ferris Mfg. Corp. is a medical device company offering wound care equipment.,"Health Care,Medical Device"
Syndicat Mixte Du Bassin De L'agout is engaged in the diagnosis of watercourses and restoration and maintenance work of watercourses.,"Association,Water Purification"
Bro Council provide a site for men that has all the content you love.,"Digital Entertainment,News"
Fibonacci Marketing is a results-driven marketing agency.,Marketing
"Metaboards is an electronic company that provides ubiquitous power and data, by creating metamaterials.","Consumer Electronics,Electronics,Manufacturing"
Boulder babyco provides eco-friendly & best natural baby products that rejuvinate babies skin.,"Consumer Goods,E-Commerce,Health Care,Retail"
"Maxicours is able to find all the subjects studied during the year by looking videos, course cards, test with quizzes based on levels.","EdTech,Education,Internet,Language Learning"
Ecce is an digital agency and create web apps and websites.,"Web Design,Internet,Web Development"
"Before It's News is a community of individuals who report on what's going on around them, from all around the world.",Internet
The Office Gurus is an outsourcing company that provides Bilingual contact center and business process office solutions,"Consulting,Information Technology"
"Alternate Energy Holdings, Inc. (OTCQB:AEHI) is a unique corporation founded by senior executives in the nuclear and utility industry.","Energy,Renewable Energy,Solar"
Legends in Concert is an entertainment company specializing in live concert services.,Music
Fieldoo is a football career network for football players to promote themselves and showcase their skills to agents and scouts.,"Internet,Mobile,Professional Networking,Soccer,Sports"
Business Branding Social Network,"E-Commerce,Finance"
"Itäó»s an organization whose specialty is making the web as collaborative as possible through events, learning, and sharing.","Education,Internet"
"Edubrix provides consulting services to companies that want to implement e-Learning, knowledge management, and knowledge certification.","E-Learning,EdTech,Information Services"
Unlimited Explosion,News
Tampa Harbor Island is a communities within walking distance of downtown Tampa and Channelside  located in Tampa.,"Non Profit,Communities"
"With Ending Scene, we help craft the script and visuals to be both appealing and effective.","Music,Video"
The Encore Group manufactures printed envelopes in the United Kingdom.,"Consumer Goods,Manufacturing,Packaging Services,Printing"
BIAS Software offers tailored software solution for small local governments.,"Accounting,Software"
"The online sanctuary for finance professionals to speak out / share thoughts among peers free from any rules, any corporate boundaries","Finance,Internet"
New York based food and beverages company. ,"Fitness,Food and Beverage,Food Processing,Health Care,Retail,Snack Food"
Plural is a company that allows its customers to find solutions and share suggestions for problems.,"Apps,Social Media,Social Media Management"
Mogic is a Sales and Marketing Platform.,"Advertising,Marketing,Public Relations"
"Supports and monitors funded research, graduate training, and campus outreach at UCSD in the subject of peace and international security.","Education,Security,Training"
BeeWeb connecting beekeepers and growers in order to collect more honey and have better pollination.,"Agriculture,Farming,Food and Beverage,Food Processing"
Government Bid & Contract Leads,Auctions
AdVoice is a mobile audio ad network with the largest reach in this format.,"Media and Entertainment,Advertising,Marketing"
"Search, Win & Help Causes",Search Engine
We are the Microsoft Windows 10 Help team available for the Windows 10 customers to help out,"Information Technology,Robotics,Software"
Just2easy is a company that is passionate about bringing the best technology into education in a way that is easy yet powerful.,Education
Colbrook Massage office is a locally owned & operated business by Amy Wade & Nancy Colbrook.,Health Care
Silicon Texans exposes underrepresented youth from State of Texas to career opportunities in Silicon Valley.,"Education,Non Profit"
Dhruva Space is a private Space company.,"Aerospace,Satellite Communication"
We create content using techniques ranging from Stop-Motion to 3D,"3D Technology,Animation,Art,Graphic Design,Media and Entertainment,Motion Capture"
O4S is a trusted SaaS that helps to get 360ŒÁ control over downstream supply chain.,"Agriculture,Consumer Electronics,Consumer Goods,Fast-Moving Consumer Goods,Lifestyle,Pharmaceutical"
"Professional Design Solutions for UX, UI, and Graphics","Information Technology,Product Design,Web Design"
"FundX is a marketplace invoice financing platform that offers a fast, simple and efficient way to fund your businesses cash flow gaps.","Financial Services,Software"
"IJG Capital is a namibia-focussed venture capital and private equity fund manager, providing equity funding.",
Large-scale cement-based 3D printing for construction,
Basis Corporation is a Radio base construction company,"Construction,Internet of Things,Software"
"Founded in 2005, VenturesLab incubated and invested in nearly 100 startups with total portfolio market cap over USD$5billion and two IPOs.",Venture Capital
Effex Management Solutions specializes in staffing and large volume contingent workforce management solutions.,"Human Resources,Recruiting,Staffing Agency"
Somewhat is a digital creative agency.,"Advertising,Marketing"
Dealinz Online Deal store is to give better and great experience to our customers across Australia.,E-Commerce
SoftRize is a software development service provider.,"Enterprise Software,FinTech,Information Technology,Internet,Meeting Software,Outsourcing,Software Engineering,UX Design,Web Apps,Web Design"
Eco Facebook Widgets,"Developer Platform,Facebook,Gaming"
BiopíÇle is a clinical work and research firm.,Biotechnology
"GUFS which enjoys a high degree of internationalization, is a birthplace of competent graduates of international caliber.",
Shanghai Kailuosi Financial Leasing is an investment Firm.,
Zeoz is a start up looking to contribute 2 cents to disruptive technology,"Mobile Apps,Service Industry,VoIP"
Paarth Humming Retreat Lucknow offers lavish and comfortable apartments including all basic amenities.,"Internet,Real Estate"
"Gulf and Western became parent company of the Dot Records label, and the Famous Music publishing company.",Music
"Subsea Communications designs, develops, manufactures, installs, and maintains undersea communications systems.",Manufacturing
Hughes Foundation is a charity that helps take care of AIDS patients around the world.,Health Care
MSPNetworks is committed to making technology an asset for your business or organization.,"Cyber Security,Information Technology"
Neo-Soft Solutions is a digital services company provides the digital transformation of businesses.,"Information Services,Information Technology"
Phood provides a solution to commercial food waste.,Software
Online Reputation Management company.,"Public Relations,Reputation,Social Media Marketing"
"Ekotechnika is offers tractors, combine harvesters, self-propelled sprayers, sowing machines, and fodder harvesting machines.","Agriculture,Machinery Manufacturing,Manufacturing"
m2o works,
"Incogneato is a secure, anonymous suggestion box that empowers people to share their greatest ideas.","Information Technology,Internet,SaaS,Software,Web Apps"
WAD Enterprises is an innovative product development company.,"Enterprise,Hardware,Information Technology"
Think Tank Mobile is a graphic design firm specializing in all areas of design and printing.,"Consulting,Mobile,Web Design"
"True North Venture Partners invests in and supports early stage businesses that have the potential to transform, expand and lead global","Banking,Finance,Venture Capital"
South Handlooms,
WealthTab is a Developer of a wealth and portfolio management platform.,"Financial Services,FinTech,Wealth Management"
"Trade is being enabled through to use of technology through Tradologie.com, we deals in bulk trade of commodities TMT Bar,Cement,Rice, Steel","Building Material,E-Commerce,Financial Services,Retail"
supply chain security assurance,"Big Data,Consulting,Cyber Security,Information Technology"
Photostre is an Austria-based company that offers its Flickr users create portfolio websites or photo blogs from their existing photos.,"Photo Sharing,Photography,SaaS,Web Development"
Healthcare Connections is a hospital & health care company specializing in laboratory staffing services.,"Health Care,Staffing Agency"
Clinique Du Sud SAS is a privately held company that owns and operates hospitals that provide healthcare services.,"Health Care,Hospital"
Gaming Inspires,"Android,eSports,iOS,Mobile Apps,Online Games"
Volunteer Matching Platform,"Enterprise Software,Non Profit,SaaS"
PeakPoint Technologies is a Provider of information technology services and systems engineering services.,"Database,Information Technology,Software"
"Our charity is leading the battle against Crohn's Disease, Ulcerative Colitis and other forms of Inflammatory Bowel Disease",Association
Micar21 is a biotechnology company provide Drug Discovery FASTER - using in silico and Artificial Intelligence,"Biotechnology,Genetics,Health Care,Medical,Pharmaceutical"
Longhorn Auto Haulers is a logistic experts and operations specialists is dedicated to providing personalized service on every shipment.,"Autonomous Vehicles,Transportation,Automotive"
Phocus Direct Communiction is a sales and marketing intelligence for B2B companies.,"Sales,Marketing"
The oldest and largest organization in the US dedicated to advancing a scientific approach to substance use and addictive disorders.,Health Care
"Herding is a manufacturer of filter media, dust collectors and filter systems for industry.",Manufacturing
"SCRM Cloud is a professionally-managed solution for social media monitoring, analytics, and engagement.",Social Media
Ahoy is a website and graphic design agency located in Manchester and London.,"E-Commerce,Graphic Design,Web Design"
Meolink develops machine-to-machine software products.,"Enterprise Software,Machine Learning,Service Industry"
"Nordic Logistics is a transportation, trucking and logistics company.","Railroad,Transportation,Logistics"
ISFA is a marketing and advertising company specializing in decorative surfaces and countertops.,Advertising
"Mid-Atlantic ProTel is an authorized re-seller AT&T smartphones, operating stores in four states.","Consumer Electronics,Retail"
Baptist College of Health Sciences is a school in Memphis.,
Chongqing Industry Investment Fund,
TerraNova Partners is a multi disciplined and diversified investment fund focused primarily on private equity investments.,
"Integrity Research Associates, LLC is an advisory firm.",Financial Services
"Choe Center for Facial Plastic is providing art cosmetic and reconstructive surgical care in a private, comfortable and safe setting.",Health Care
Founded in 2020 Oisto is the worldäó»s leading medical and hospital equipment and products marketplace for healthcare professionals.,"Health Care,Medical,Information Technology"
"Informetis is a world of energy is growing in complexity, demanding the flexibility to coordinate renewable energy.","Energy,Industrial,Professional Services,Power Grid"
Cognitio nurtures a global forum for inspired individuals with a common intent of shaping the world through collaborative innovation.,"Mobile,Social Impact"
Nhuma is a mobile apps developer company founded in 2010. They look for the enhancement and develop the technology with new concepts and,Health Care
Isenhart Realty Provides professional real estate services.,Real Estate
Oh My Mood UK is a Mental healthcare support provider,"Health Care,Information Technology"
"BTG Buro fur Technische Geologie AG is an underground mining, rock engineering and geology consulting firm.","Consulting,Environmental Consulting,Mining Technology"
"Midco is a regional cable provider, providing a triple play service of Cable television, Internet and telephone service.","Advertising,Internet,Smart Home,Telecommunications"
"Kenneth A. Murray Insurance is provides insurance services including, personal insurance, commercial insurance, life and health insurance.","Commercial Insurance,Insurance,Life Insurance"
Bright Spine specializes in research and development of medical devices designed for neurological and orthopedic surgery of the spine.,"Health Care,Medical,Medical Device"
PNet is an online e-Recruitment service.,"Recruiting,Information Technology"
iWon is a CBS-backed destination portal and search engine that gives away cash prizes for playing casual games.,"Casual Games,Gaming,Video Games"
GastroHero GmbH is a Retail company.,Wholesale
"ChainLabs is exclusively for Founders, Entrepreneurs Whose Revenue Comes from the Supply Chain Backed by top tier venture capital funds,",
Helvetic BioPharma is an innovative bio-pharmaceutical company,"Biotechnology,Marketing,Pharmaceutical"
The only thing more powerful than weather is our ability to help you profit from it.,Software
StudentWhat is an online community for students.,Education
"22 Zebras Computer Repair and Virus Removal West Bloomfield Michigan provides IT support, computer repair and virus removal.","Computer,Hardware"
"You are investing into the acquisition of an established Allstate insurance agency located in midtown Atlanta, GA.","Banking,Finance,Insurance,Venture Capital"
They developed a repeatable process that has led to delighted clients and sky-high retention rates.,
Alco Investment is a company that specializes in capital markets and investor relations services,
Kingston Mortgage Solutions is a fintech financial services company located in Kingston.,"Financial Services,Finance,FinTech"
"Syneos Health, the only fully integrated end-to-end clinical and commercial solution organization.","Biotechnology,Pharmaceutical,Therapeutics"
ExeVision is a custom software development and consulting company with an emphasis on Oracle technologies.,"Information Services,Information Technology"
Meridian Growth Capital Invests in entrepreneurial businesses and backing management.,"Finance,Financial Services"
Videomaker Inc specializes in instructional how-to videos and training for beginning online video makers.,"EdTech,Education,Internet,News,Publishing,Video,Video Editing"
AMT creatively solves robotic automation challenges.,"Industrial Automation,Robotics"
"SuburbView is an Australian Real Estate Search Engine, where found results are displayed in Google Earth and also on the Google Maps.","Building Material,Real Estate,Search Engine"
"Dogstar Life combines IoT, big data and animal behavioral science to create a mobile platform and a portfolio of connected devices","Internet of Things,Pet,Wearables"
Elder Pharmaceuticals is a  pharmaceutical manufacturing & marketing organisation.,Manufacturing
"BTHC VI, Inc. is a shell company.",
Korra is a company that manufactures and sells denim jeans with emphasis on sustainability and environment.,"Fashion,Product Design,Retail"
The European Climate Foundation is an international organisation whose aims are to promote climate and energy policies.,"Association,Energy,Renewable Energy,Solar"
We are the first independent smartphone survey solution provider for Chinese market research firms and others.,Software
"C-Feed AS produces copepod eggs and live copepods for early stage feeding of marine fish, crustaceans and other marine organisms.",Food and Beverage
Pipe Services of Alabama is a specialized service company that provides pipe service offerings.,"Industrial,Industrial Engineering"
Monroe Dental Arts is the dental office of Dr. H.K. Virdee and her team.,Health Care
My-qup's first product is directed to those patients that are affected by fecal incontinence.,"Fitness,Health Care,Medical,Wellness"
Ximmerse focuses on creating innovative input solutions and cutting edge products for the AR/VR industry.,"Cloud Computing,Mobile,Virtual Reality,Visual Search"
India's largest finishing school in making. We help institutes market their final year students to recruiters for FREE. www.naukri.video,"E-Learning,Education,Marketplace,Recruiting,SaaS,Skill Assessment"
Authentic Mexican Restaurant and Catering,"E-Commerce,Food and Beverage,Mobile Apps,Staffing Agency"
iNAP.global connects startups with online accountants in the UK and Ireland.,"Accounting,E-Commerce,FinTech,Professional Services"
"TextPad is a powerful, general purpose editor for plain text files.","Developer Tools,Information Technology"
Ecometal AS produces soft lead and lead alloys. ,Recycling
Otto makes the automation tools that allow businesses to quickly and easily join the ranks of industry 4.0,"Industrial Engineering,Information Technology,Mechanical Design,Mechanical Engineering,Robotics,Software,Wearables"
Airxmedia provides enterprise level high quality Drupal solutions for desktop and mobile targets,"Product Design,Social Media,Software,Web Development"
Text IQ uses groundbreaking AI technology to protect companies from high-stakes legal and compliance disasters.,"Artificial Intelligence,Compliance,Enterprise Software,Information Technology,Machine Learning,Software"
Kitsap Bank is a bank offering business and personal banking solutions in the Western Washington.,Banking
"Big Splash Web Design are a full service Houston website marketing agency specializing in web design, SEO, and mobile applications.","Advertising,Email Marketing,SEO,Social Media Marketing,Web Design,Web Hosting"
"Aí_ucar Guarani cultivates, produces, and sells sugar, ethanol, and other sugarcane by-products primarily in Brazil and Mozambique.","Electronics,Food Processing,Industrial,Manufacturing,Retail"
"St Joseph's College of Communication is a Christian institution offering courses in multimedia, graphic design, and electronic journalism.",
Redevip specializes in the accreditation of a discount network with companies from several sectors.,"Retail,Social Network,Wholesale"
"Artificial Intelligence, Machine Learning, Deep Learning, SaaS, Software Development, Quality of Life, Human Resources,","Artificial Intelligence,Human Computer Interaction,Identity Management,Information Technology,Machine Learning,Software"
"frameLOGIC is a provider of cloud-based solutions for Fleet Management, Transport Management, and Mobile Workforce Management.","Information Technology,Transportation"
Provides location-enhanced wireless Internet services.,"Automotive,Information Technology,Internet,ISP,Social Media,Software,Telecommunications,Wireless"
The Delaware Journal of Corporate Law is a student-edited publication at Widener Law Delaware.,Consulting
AdFicient is a full-service PPC management agency that offers a range of pap-per-click management and adword solutions.,"Advertising,SEM"
"HR, IT, and Office management with diversity in mind.","Human Resources,Information Technology"
iEstates are an estates agency operating in the areas of Friern Barnet and Alexandra Park.,"Advertising,Marketing"
Studio Jewelers Ltd. is a licensed jewelry trade school centrally located in midtown Manhattan.,
"Comptons of Soho operates a gay pub. The company offers foods, beers, wines, and spirits.","Food and Beverage,Restaurants"
"Livimplant GmbH is develops and sells innovative cell based therapies for leasons and diseases of tendons, joints, cartilage and bones.","Biotechnology,Health Care"
Digital marketing agency and product ideation.,Digital Marketing
"Inchworm connects consumer and music tech startups with media, influencers and consumers.","Consumer,Digital Media,Music"
RCCH HealthCare Partners provides healthcare services.,"Alternative Medicine,Health Care,Medical,Personal Health,Pharmaceutical"
IT-NetLogistics is a provider of IT support services and the installation of structured cabling to a complete rollout of a new technology.,"Enterprise Software,Homeland Security,IT Management,Wireless"
"Spine Payroll is a simple, flexible and user-friendly Payroll Management software specially for INDIA.","Health Care,Manufacturing,Medical"
Disual Digital Visuals Software & Design,"Internet,Software,Web Design,Web Development"
Businessweek Digital is a News company.,News
"BattleBricks is a website dedicated to fun, interesting Lego Mindstorms projects created by Will Gorman.","Hardware,Internet,Manufacturing,Software,Toys"
Webider builds Force.com apps to help reduce the time and cost of Salesforce.com customizations.,Information Technology
The Daily Newsletter For Guys Who Don't Read The News.,"Apps,News"
Heater Cap is an ice protection system.,Industrial
"Sercel continues to design, manufacture and support a full range of high-tech integrated equipment for hydrocarbon exploration in land,","Computer,Electronics,Hardware,Manufacturing"
WebBased creates online software solutions for LAs.,"Information Technology,Internet,Internet of Things,Robotics,Software"
ChipX is a mixed-signal ASIC company that designs and manufactures application-specific integrated circuit solutions.,"Electronics,Manufacturing,Semiconductor"
"PMC Group is a diversified, global chemicals company","Association,Manufacturing"
The Yield is an Internet of Things Agricultural Technology start-up.,"AgTech,Information Technology,Internet of Things"
Tutor71: Cloud Based Micro-Tutoring Platform is a Smartphone app with alternative channels like Website.,Education
CMK and Associates Real Estate is the brokerages in upstate New York.,"Consulting,Real Estate"
"Groupe PARIMA is the development and manufacturing of non-sterile semi-solid, liquid and suspension pharmaceutical products.","Pharmaceutical,Manufacturing"
Barebones reviews for your favorite infoproducts written by me: Mark :),"E-Commerce,Internet,News"
"Kirchner Bureautique offers and sells office equipment, furniture and IT for the company.","Furniture,Information Technology"
ReactivLab offers animal diagnostics solutions.,"Health Diagnostics,Medical,Veterinary"
"Find, book and pay for a local service provider in two minutes flat","E-Commerce,Marketplace,Sharing Economy"
parcelLab enables the best online retailers to delight all their customers with an awesome post-checkout shopping experience.,
Technology Network,NULL
"This is where like-minded, kindred spirits come together. This is where good becomes better and best is more than a lofty goal. Itäó»s a","Food and Beverage,Hospitality,Lifestyle,Retail,Wine And Spirits"
Furnesh is an online store that offers home decor and furniture featured in home design magazines.,"E-Commerce,Furniture,Lighting"
RealConnect is broadband communications provider and telecommunications services needs for their clients.,"Information Technology,Telecommunications"
"Oak Creek Homes is a construction company that offers manufactured, mobile, and modular homes services.",Real Estate
Oratec is a company that provides medical supplies.,"Health Care,Medical"
SaveUp is an online rewards program encouraging users to save money and pay their debt while earning credits to play for prizes.,"Education,Finance,Financial Services,Online Portals,Travel"
Comerso is the leading logistics operator and digital actor in optimising unsold goods for food aid charities.,"E-Commerce,Information Technology,Logistics,Management Information Systems,Retail,Waste Management"
NAI is a self-regulatory association dedicated to responsible data collection and its use for digital advertising.,"Ad Network,Advertising,Big Data"
ALPMA is a machine and plant engineering company.,"Machinery Manufacturing,Mechanical Engineering"
"Alerion Aviation is an aviation & aerospace company specializing in aircraft management, private jet charter, and maintenance services.","Automotive,Hospitality,Information Technology,Tourism,Transportation"
Mchc is a certification training programs utilizing AAPC licensed in St. Augustine.,"Health Diagnostics,Health Care,Corporate Training"
"noCRM email retargeting and marketing automation for eCommerce, Enterprise, SaaS","Advertising,B2B,E-Commerce,Email Marketing,Marketing,Marketing Automation"
An international telecommunications company.,Telecommunications
DEWAY is a Development of systems for Internet.,"Computer,Software"
Wealth management platform,"Advice,Crowdfunding,FinTech,Stock Exchanges,Wealth Management"
The leading web-based niche social network for women in Europe,Communities
Olife Energy provides power storage units for homes and businesses.,"Energy Storage,Renewable Energy,Solar"
Alabama based hospital serving platform.,Health Care
Manchester Electric is a full-service electrical contractor that provides all types of electrical services.,"Construction,Home Services,Electrical Distribution"
STEP Stendals,"Hardware,Information Technology,Robotics,Security,Software"
"Baltic Distillery develops, produces, and supplies ethanol.","Food and Beverage,Manufacturing,Wine And Spirits"
SIMPLIQUE is an organization that uses cutting-edge IT technology to create new value in daily life.,"Information Technology,IT Management"
AdsRevenue.com is self-serve pop-under advertising network.,"Ad Network,Advertising,Internet,Marketing"
Goefer is a provider of an electric power strip intended to receive insight regarding the users electrical ecosystem.,Information Technology
Qa Logic is an Independent software testing company. QA Outsourcing,"Information Technology,Software"
Cloud based desktop app management,"Apps,Information Technology"
Bitcoin Unlimited provides a voice to all stakeholders in the Bitcoin ecosystem.,Peer to Peer
"IP-Solutions is a leading technology consulting company with expert consultants in system development, network engineering.",Training
"Nelly.com offers clothing, shoes, dresses, lingerie, and trousers for women from leading brands.","E-Commerce,Fashion"
"KCMS is an IT company focused on the development of solutions for management software, point of sale, ERP, and cloud.","Mobile,Point of Sale,SaaS,Software"
"PR Firm utilizing todays music business for independent artists. Radio Ready PR Reviews, Radio Ready PR Success","Independent Music,Music,Music Education,Music Label,Music Streaming"
Kikka Capital is ALMOST open for businesses!,"Finance,Financial Services,Small and Medium Businesses"
LogicWard is a company that appears to have gone out of business because I can find no current evidence that the company exists.,"Internet,Social Media"
Freeslate Inc. is a Retail Technology company.,Retail Technology
Godspell is an eCommerce musical store provides broad way cast Recording of Godspell.,"E-Commerce,Music"
"vcfo is a financial consulting firm that provides part-time CFO services, recruiting, technology, and HR consulting.",Consulting
Burlington Capital is a company that provides asset development and financial services.,
"Nogales Investors Management is a private equity firm specializing in management buyouts, build-ups, acquisitions, middle market.",
"MAGEBAY.COM Team specialises in all things magento, we provide magento extension, magento themes, support services packages at the MAGEBAY.","E-Commerce,Information Technology,Internet"
"Kwiklube can service your car, whatever the model or year, to the highest standard at incredibly low prices.","Autonomous Vehicles,Innovation Management,Automotive"
Zimthaus.ch is an online store for footwear.,"E-Commerce,Fashion"
Robot E-Sports Team is an e-sports startup.,"B2C,eSports,Internet,Online Games,Sports"
"Verinex Technologies, Inc. develops biometric security solutions.","Biometrics,E-Commerce,Identity Management,Security"
Mebiopharm is a pharmaceutical company.,"Biotechnology,Pharmaceutical"
Patented used glass collection and implosion system,Manufacturing
HealthVR creates virtual reality applications that complement and enhance the existing therapies used to treat health conditions.,"Health Care,Virtual Reality"
Scalar Labs partners with ambitious entrepreneurs as they begin their journey from idea to startup.,"Communities,Financial Services"
"Evolved Digital Systems, Inc. operates as a healthcare technology company in the United States and Canada. It transform hospitals,","Health Care,Information Technology,Medical"
"DWM Holdings is the parent company for a portfolio of lighting standard manufacturing companies in Warren, Michigan.","3D Printing,Electronics,Manufacturing"
CuePath provides electronic solutions to facilitate caregiving through fast and efficient service for medication management.,"Consumer Electronics,Health Care,Internet of Things,Mobile Apps"
"Sesepei.com is an e-commerce startup that specializes in appliances, furniture, electronics and home decor.","E-Commerce,Electronics,Furniture"
Grandi Stazioni Rail SpA operates the long-term leasehold providing exclusive rights to the commercial leasing and advertising,"Retail,Transportation"
"The Phoenix Comic always love to hear from you, so make sure that you get in touch! Here's a quick list to help your message.",Comics
"Prosperon Networks is a reseller and provider of consultancy, installation and training services for Network Monitoring.","Consulting,Information Technology"
Primelapse is a web-based platform that provides time-lapse videos from a total of 152 countries around the world.,Video
IDM is a truly value-driven agency where creativity and technology integrate and are capable of executing on all communications platforms.,"Information Technology,Marketing"
Willow TV operates a portal for live internet streaming of sporting events.,"E-Commerce,Internet,Service Industry"
Wave Inc. creates amazing products to make people around the world closer.,"Apps,Hardware,Messaging,Mobile,Photography,Wearables"
HeartSine is the pioneer of clinically advanced automated external defibrillators (AEDs) for the workplace.,Health Care
Fence Thousand Oaks has a large network,Real Estate
Commercial Real Estate Financing Company,Real Estate
"American Pacific Corporation is a chemical company manufacturing specialty chemicals for aerospace, defense and fire protection industries.","Chemical,Manufacturing"
A startup aimed at helping people in poverty find work in the high tech industry,"Information Technology,Internet"
MyKabook leading technology platform creating customize and experience children's books.,"Children,Education"
Select Readers Center is a magazine subscription management service.,Media and Entertainment
JSC Eco Baltia is the largest environment management group in the Baltics in terms of net sales.,Commercial
Alto Intelligence is a Cloud Business Intelligence consultancies.,"Cloud Computing,Information Services,Information Technology"
"Imascap, a leader in the development of software-based solutions for preoperative planning of shoulder replacement surgery.",Medical Device
International Energy Corporation is the operating U.S. based exploration and production company and a subsidiary of AusTex Oil Limited.,"Energy,Government,Manufacturing"
Goalgirls is a young creative girlpowerhouse for experiential marketing and activism.,"Advertising,Marketing"
"Mobi is a global mobile wallet app that allows storage, conversion, and transfer of more than 100 currencies.","Bitcoin,Blockchain"
Biggest tourism directory in Nigeria,"Adventure Travel,Nightlife,Tourism,Travel"
Streekpellets,
IPCentury AG develops and operates patent database that maps patents on the basis of describing criteria.,"Database,Health Care,Information Technology"
"Wichita Optometry has a long history of providing quality, personalized eye care services.",Medical Device
Bidcoz is an online resource where users can design funding campaigns for events and fundraisers.,Software
